Katakana,Hiragana,Kunrei,Hepburn
ァ,ぁ,xa,xa
ウ,う,u,u
ヴォ,ゔぉ,vo,vo
カ,か,ka,ka
キョ,きょ,kyo,kyo
ク,く,ku,ku
ゴ,ご,go,go
サ,さ,sa,sa
ショ,しょ,syo,sho
ジ,じ,zi,ji
ス,す,su,su
ゾ,ぞ,zo,zo
タ,た,ta,ta
チョ,ちょ,tyo,cho
ティ,てぃ,ti,ti
ッ,っ,xtu,xtsu
ッヴ,っゔ,vvu,vvu
ッヴェ,っゔぇ,vve,vve
ッカ,っか,kka,kka
ッキュ,っきゅ,kkyu,kkyu
ッギュ,っぎゅ,ggyu,ggyu
ッケ,っけ,kke,kke
ッザ,っざ,zza,zza
ッシュ,っしゅ,ssyu,sshu
ッジ,っじ,zzi,jji
ッス,っす,ssu,ssu
ッゾ,っぞ,zzo,zzo
ッチャ,っちゃ,ttya,ccha
ッヂャ,っぢゃ,ddya,ddya
ッヅ,っづ,ddu,ddu
ッドゥ,っどぅ,ddu,ddu
ッハ,っは,hha,hha
ッヒャ,っひゃ,hhya,hhya
ッビャ,っびゃ,bbya,bbya
ッピャ,っぴゃ,ppya,ppya
ッファ,っふぁ,ffa,ffa
ッブ,っぶ,bbu,bbu
ッホ,っほ,hho,hho
ッヨ,っよ,yyo,yyo
ッリュ,っりゅ,rryu,rryu
ッロ,っろ,rro,rro
ツ,つ,tu,tsu
ド,ど,do,do
ナ,な,na,na
ヌ,ぬ,nu,nu
ハ,は,ha,ha
ヒュ,ひゅ,hyu,hyu
ビョ,びょ,byo,byo
フ,ふ,hu,fu
フュ,ふゅ,fu,fu
ブ,ぶ,bu,bu
ホ,ほ,ho,ho
マ,ま,ma,ma
ム,む,mu,mu
ャ,ゃ,xya,xya
ヨ,よ,yo,yo
ラ,ら,ra,ra
ル,る,ru,ru
ヮ,ゎ,xwa,xwa
ヲ,を,wo,wo
ン,ん,n',n'
ディ,でぃ,dyi,di
ー,ー,-,-
チェ,ちぇ,tye,che
ッチェ,っちぇ,ttye,cche
ジェ,じぇ,zye,je
ア,あ,a,a
ヴ,ゔ,vu,vu
ェ,ぇ,xe,xe
ガ,が,ga,ga
ギ,ぎ,gi,gi
グ,ぐ,gu,gu
ザ,ざ,za,za
シェ,しぇ,sye,she
ジャ,じゃ,zya,ja
ズ,ず,zu,zu
ダ,だ,da,da
ヂ,ぢ,di,di
ッヴァ,っゔぁ,vva,vva
ッヴォ,っゔぉ,vvo,vvo
ッガ,っが,gga,gga
ッキョ,っきょ,kkyo,kkyo
ッギョ,っぎょ,ggyo,ggyo
ッゲ,っげ,gge,gge
ッシ,っし,ssi,sshi
ッショ,っしょ,ssyo,ssho
ッジャ,っじゃ,zzya,jja
ッズ,っず,zzu,zzu
ッタ,った,tta,tta
ッチュ,っちゅ,ttyu,cchu
ッヂュ,っぢゅ,ddyu,ddyu
ッテ,って,tte,tte
ッバ,っば,bba,bba
ッヒュ,っひゅ,hhyu,hhyu
ッビュ,っびゅ,bbyu,bbyu
ッピュ,っぴゅ,ppyu,ppyu
ッフィ,っふぃ,ffi,ffi
ップ,っぷ,ppu,ppu
ッボ,っぼ,bbo,bbo
ッラ,っら,rra,rra
ッリョ,っりょ,rryo,rryo
ヅ,づ,du,du
ドゥ,どぅ,du,du
ニ,に,ni,ni
ネ,ね,ne,ne
バ,ば,ba,ba
ヒョ,ひょ,hyo,hyo
ピ,ぴ,pi,pi
ファ,ふぁ,fa,fa
プ,ぷ,pu,pu
ボ,ぼ,bo,bo
ミ,み,mi,mi
メ,め,me,me
ヤ,や,ya,ya
リ,り,ri,ri
レ,れ,re,re
ワ,わ,wa,wa
ウォ,うぉ,wo,wo
ウェ,うぇ,we,we
ィ,ぃ,xi,xi
ヴァ,ゔぁ,va,va
エ,え,e,e
キ,き,ki,ki
ギャ,ぎゃ,gya,gya
ケ,け,ke,ke
シ,し,si,shi
ジュ,じゅ,zyu,ju
セ,せ,se,se
チ,ち,ti,chi
ヂャ,ぢゃ,dya,dya
ッヴィ,っゔぃ,vvi,vvi
ッキ,っき,kki,kki
ッギ,っぎ,ggi,ggi
ック,っく,kku,kku
ッコ,っこ,kko,kko
ッシャ,っしゃ,ssya,ssha
ッシェ,っしぇ,ssye,sshe
ッジュ,っじゅ,zzyu,jju
ッセ,っせ,sse,sse
ッダ,っだ,dda,dda
ッチョ,っちょ,ttyo,ccho
ッヂョ,っぢょ,ddyo,ddyo
ッデ,っで,dde,dde
ッパ,っぱ,ppa,ppa
ッヒョ,っひょ,hhyo,hhyo
ッビョ,っびょ,bbyo,bbyo
ッピョ,っぴょ,ppyo,ppyo
ッフェ,っふぇ,ffe,ffe
ッヘ,っへ,hhe,hhe
ッポ,っぽ,ppo,ppo
ッリ,っり,rri,rri
ッル,っる,rru,rru
テ,て,te,te
ニャ,にゃ,nya,nya
ノ,の,no,no
パ,ぱ,pa,pa
ビ,び,bi,bi
ピャ,ぴゃ,pya,pya
フィ,ふぃ,fi,fi
ヘ,へ,he,he
ポ,ぽ,po,po
ミャ,みゃ,mya,mya
モ,も,mo,mo
ュ,ゅ,xyu,xyu
リャ,りゃ,rya,rya
ロ,ろ,ro,ro
ウィ,うぃ,wi,wi
ン,ん,n,n'
イ,い,i,i
ヴィ,ゔぃ,vi,vi
ォ,ぉ,xo,xo
キャ,きゃ,kya,kya
ギュ,ぎゅ,gyu,gyu
ゲ,げ,ge,ge
シャ,しゃ,sya,sha
ジョ,じょ,zyo,jo
ゼ,ぜ,ze,ze
チャ,ちゃ,tya,cha
ヂュ,ぢゅ,dyu,dyu
ッキャ,っきゃ,kkya,kkya
ッギャ,っぎゃ,ggya,ggya
ッグ,っぐ,ggu,ggu
ッゴ,っご,ggo,ggo
ッジョ,っじょ,zzyo,jjo
ッゼ,っぜ,zze,zze
ッチ,っち,tti,cchi
ッヂ,っぢ,ddi,ddi
ッツ,っつ,ttu,ttsu
ット,っと,tto,tto
ッヒ,っひ,hhi,hhi
ッビ,っび,bbi,bbi
ッピ,っぴ,ppi,ppi
ッフ,っふ,hhu,ffu
ッフォ,っふぉ,ffo,ffo
ッベ,っべ,bbe,bbe
ッヤ,っや,yya,yya
ッリャ,っりゃ,rrya,rrya
ッレ,っれ,rre,rre
デ,で,de,de
ニュ,にゅ,nyu,nyu
ヒ,ひ,hi,hi
ビャ,びゃ,bya,bya
ピュ,ぴゅ,pyu,pyu
フェ,ふぇ,fe,fe
ベ,べ,be,be
ミュ,みゅ,myu,myu
ユ,ゆ,yu,yu
リュ,りゅ,ryu,ryu
ヰ,ゐ,wi,wi
ゥ,ぅ,xu,xu
ヴェ,ゔぇ,ve,ve
オ,お,o,o
キュ,きゅ,kyu,kyu
ギョ,ぎょ,gyo,gyo
コ,こ,ko,ko
シュ,しゅ,syu,shu
ソ,そ,so,so
チュ,ちゅ,tyu,chu
ヂョ,ぢょ,dyo,dyo
ッサ,っさ,ssa,ssa
ッソ,っそ,sso,sso
ッティ,ってぃ,tti,tti
ッド,っど,ddo,ddo
ッフュ,っふゅ,ffu,ffu
ッペ,っぺ,ppe,ppe
ッユ,っゆ,yyu,yyu
ト,と,to,to
ニョ,にょ,nyo,nyo
ヒャ,ひゃ,hya,hya
ビュ,びゅ,byu,byu
ピョ,ぴょ,pyo,pyo
フォ,ふぉ,fo,fo
ペ,ぺ,pe,pe
ミョ,みょ,myo,myo
ョ,ょ,xyo,xyo
リョ,りょ,ryo,ryo
ヱ,ゑ,we,we
